実行日付,タイトル,URL,お気に入り数,販売数
2025-12-15,隣の奥様～昼下がりの禁断調教～,https://www.dlsite.com/maniax/announce/=/product_id/RJ01486587.html,541,N/A
2025-12-15,負けヒロイン更生夏休み ～アイツの幼馴染は俺好みの下品な女～,https://www.dlsite.com/maniax/work/=/product_id/RJ01470011.html,684,192
